imo,position_dt_tm,latitude,longitude
9595321,2019-01-14 18:47:31+00,18.42115021,-64.61090088
9632179,2019-01-14 18:40:18+00,49.89789963,-2.518366575
9247455,2019-01-14 18:31:22+00,17.54036331,69.71206665
9595321,2019-01-14 18:29:32+00,18.42115021,-64.61090088
9632179,2019-01-14 18:23:30+00,49.87934875,-2.619416714
9247455,2019-01-14 18:06:20+00,17.4793148,69.76507568
9595321,2019-01-14 17:53:32+00,18.42115021,-64.61090088
9632179,2019-01-14 17:51:41+00,49.8428154,-2.813966751
9632179,2019-01-14 17:46:31+00,49.8370018,-2.846266747
9632179,2019-01-14 17:36:07+00,49.8213501,-2.908666611
9595321,2019-01-14 17:35:31+00,18.42115021,-64.61090088
9632179,2019-01-14 17:31:05+00,49.81241608,-2.937016726
9632179,2019-01-14 17:20:24+00,49.79244995,-2.999949932
9595321,2019-01-14 17:17:32+00,18.42115021,-64.61090088
9632179,2019-01-14 17:14:24+00,49.78144836,-3.034300089
9632179,2019-01-14 17:04:36+00,49.75673294,-3.085716724
9595321,2019-01-14 16:56:32+00,18.42115021,-64.61090088
9632179,2019-01-14 16:55:17+00,49.73208237,-3.132849932
9632179,2019-01-14 16:49:05+00,49.71689987,-3.165966749
9595321,2019-01-14 16:38:33+00,18.42116737,-64.61090088
9632179,2019-01-14 16:34:52+00,49.68711853,-3.247149944
9632179,2019-01-14 16:29:48+00,49.67644882,-3.276233435
9595321,2019-01-14 16:20:32+00,18.42115021,-64.61090088
9632179,2019-01-14 16:19:28+00,49.6546669,-3.335416555
9632179,2019-01-14 16:07:16+00,49.62863159,-3.406233311
9595321,2019-01-14 16:02:32+00,18.42115021,-64.61090088
9632179,2019-01-14 16:02:06+00,49.61769867,-3.435600042
9247455,2019-01-14 15:48:44+00,17.13500023,70.04666901
9632179,2019-01-14 15:46:06+00,49.58366776,-3.52733326
9595321,2019-01-14 15:44:31+00,18.42115021,-64.61090088
9632179,2019-01-14 15:38:42+00,49.56784821,-3.569999933
9632179,2019-01-14 15:30:08+00,49.54938507,-3.61954999
9595321,2019-01-14 15:26:32+00,18.42110062,-64.61084747
9632179,2019-01-14 15:18:25+00,49.52465057,-3.686616659
9632179,2019-01-14 15:12:36+00,49.51306534,-3.719549894
9595321,2019-01-14 15:05:33+00,18.42110062,-64.61084747
9632179,2019-01-14 15:02:53+00,49.49304962,-3.7763834
9632179,2019-01-14 14:56:17+00,49.47928238,-3.814083338
9595321,2019-01-14 14:50:31+00,18.42115021,-64.61090088
9632179,2019-01-14 14:47:30+00,49.46035004,-3.865633249
9247455,2019-01-14 14:46:47+00,16.99269676,70.18436432
9632179,2019-01-14 14:42:51+00,49.450617,-3.89245
9632179,2019-01-14 14:38:06+00,49.44071579,-3.919666767
9595321,2019-01-14 14:29:33+00,18.42115021,-64.61090088
9632179,2019-01-14 14:27:31+00,49.41841507,-3.980933428
9247455,2019-01-14 14:27:02+00,16.94257736,70.21416473
9632179,2019-01-14 14:21:19+00,49.4056015,-4.016283512
9632179,2019-01-14 14:12:23+00,49.38660049,-4.066833496
9595321,2019-01-14 14:11:33+00,18.42115021,-64.61090088
9632179,2019-01-14 14:00:53+00,49.36158371,-4.131583214
9632179,2019-01-14 13:55:29+00,49.34976578,-4.161716461
9595321,2019-01-14 13:53:33+00,18.42115021,-64.61090088
9632179,2019-01-14 13:45:59+00,49.3290329,-4.214483261
9632179,2019-01-14 13:40:46+00,49.3174324,-4.244333267
9595321,2019-01-14 13:32:31+00,18.42115021,-64.61090088
9632179,2019-01-14 13:30:17+00,49.29423523,-4.302316666
9632179,2019-01-14 13:25:15+00,49.28293228,-4.330666542
9595321,2019-01-14 13:14:32+00,18.42115021,-64.61090088
9632179,2019-01-14 13:09:30+00,49.24769974,-4.418583393
9632179,2019-01-14 13:02:49+00,49.23283386,-4.455983162
9595321,2019-01-14 12:55:12+00,18.42024994,-64.60938263
9632179,2019-01-14 12:53:07+00,49.21128464,-4.510183334
9595321,2019-01-14 12:47:52+00,18.41658401,-64.60621643
9595321,2019-01-14 12:41:01+00,18.41676712,-64.60573578
9632179,2019-01-14 12:36:09+00,49.17321777,-4.603783131
9595321,2019-01-14 12:32:31+00,18.41031647,-64.59645081
